LAST SEEN   TYPE      REASON                 OBJECT                                                                MESSAGE
49m         Warning   BackoffLimitExceeded   job/k6-load-test-spike-product-service-h1-spike-rep1                  Job has reached the specified backoff limit
40m         Normal    SuccessfulCreate       job/k6-load-test-oscillating-product-service-h1-oscillating-rep1      Created pod: k6-load-test-oscillating-product-service-h1-oscillating-reqccxr
40m         Normal    Pulling                pod/k6-load-test-oscillating-product-service-h1-oscillating-reqccxr   Pulling image "grafana/k6:latest"
40m         Normal    Scheduled              pod/k6-load-test-oscillating-product-service-h1-oscillating-reqccxr   Successfully assigned ecommerce/k6-load-test-oscillating-product-service-h1-oscillating-reqccxr to aks-userpool-16719200-vmss000011
40m         Normal    Started                pod/k6-load-test-oscillating-product-service-h1-oscillating-reqccxr   Started container k6
40m         Normal    Created                pod/k6-load-test-oscillating-product-service-h1-oscillating-reqccxr   Created container: k6
40m         Normal    Pulled                 pod/k6-load-test-oscillating-product-service-h1-oscillating-reqccxr   Successfully pulled image "grafana/k6:latest" in 1.46s (1.46s including waiting). Image size: 36750082 bytes.
27m         Warning   BackoffLimitExceeded   job/k6-load-test-oscillating-product-service-h1-oscillating-rep1      Job has reached the specified backoff limit
18m         Normal    Scheduled              pod/k6-load-test-gradual-product-service-h2-gradual-rep1-5bdfm        Successfully assigned ecommerce/k6-load-test-gradual-product-service-h2-gradual-rep1-5bdfm to aks-userpool-16719200-vmss000011
18m         Normal    SuccessfulCreate       job/k6-load-test-gradual-product-service-h2-gradual-rep1              Created pod: k6-load-test-gradual-product-service-h2-gradual-rep1-5bdfm
18m         Normal    Pulling                pod/k6-load-test-gradual-product-service-h2-gradual-rep1-5bdfm        Pulling image "grafana/k6:latest"
18m         Normal    Started                pod/k6-load-test-gradual-product-service-h2-gradual-rep1-5bdfm        Started container k6
18m         Normal    Created                pod/k6-load-test-gradual-product-service-h2-gradual-rep1-5bdfm        Created container: k6
18m         Normal    Pulled                 pod/k6-load-test-gradual-product-service-h2-gradual-rep1-5bdfm        Successfully pulled image "grafana/k6:latest" in 1.467s (1.467s including waiting). Image size: 36750082 bytes.
6m57s       Warning   Unhealthy              pod/product-service-646fd4c8b8-q7dm4                                  Readiness probe failed: Get "http://10.244.2.183:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
5m38s       Warning   BackoffLimitExceeded   job/k6-load-test-gradual-product-service-h2-gradual-rep1              Job has reached the specified backoff limit
